No. of voting,Title,Subscript,Link,voting_id,Session,Dates
10,"Ustawa o zmianie ustawy o ostateczności rozrachunku w systemach płatności i systemach rozrachunku papierów wartościowych oraz zasadach nadzoru nad tymi systemami, ustawy o niektórych zabezpieczeniach finansowych oraz ustawy – Prawo upadłościowe i naprawcze",Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,36.html",36,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
11,Ustawa o zmianie ustawy o kierujących pojazdami oraz ustawy – Prawo o ruchu drogowym,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,27.html",27,"Posiedzenie: 4. posiedzenie Senatu RP VIII kadencji, 1 dzień",19 stycznia 2012 r.
1,Drugie czytanie projektu uchwały w sprawie ustanowienia roku 2012 Rokiem Uniwersytetów Trzeciego Wieku.,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,37.html",37,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",1 i 2 lutego 2012 r.
2,Drugie czytanie projektu uchwały w sprawie uczczenia setnej rocznicy śmierci Błogosławionego Księdza Bronisława Markiewicza.,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,38.html",38,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",1 i 2 lutego 2012 r.
3,Ustawa zmieniająca ustawę o zmianie ustawy o systemie oświaty oraz o zmianie niektórych innych ustaw,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,40.html",40,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",1 i 2 lutego 2012 r.
4,"Ustawa o ratyfikacji Umowy o wolnym handlu między Unią Europejską i jej państwami członkowskimi, z jednej strony, a Republiką Korei, z drugiej strony, sporządzonej w Brukseli dnia 6 października 2010 r.",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,41.html",41,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",1 i 2 lutego 2012 r.
5,Ustawa o zmianie ustawy o płatnościach w ramach systemów wsparcia bezpośredniego oraz niektórych innych ustaw.,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,39.html",39,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 1 dzień",1 i 2 lutego 2012 r.
6,Uchwała ogłaszająca maj 2012 r. Miesiącem Rozgłośni Polskiej Radia Wolna Europa,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,43.html",43,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 2 dzień",1 i 2 lutego 2012 r.
7,Uchwała ogłaszająca maj 2012 r. Miesiącem Rozgłośni Polskiej Radia Wolna Europa,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,44.html",44,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 2 dzień",1 i 2 lutego 2012 r.
8,Uchwała ogłaszająca maj 2012 r. Miesiącem Rozgłośni Polskiej Radia Wolna Europa,Przyjęcie projektu wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,42.html",42,"Posiedzenie: 5. posiedzenie Senatu RP VIII kadencji, 2 dzień",1 i 2 lutego 2012 r.
1,Zmiany w składzie komisji senackich,Wniosek o podjęcie uchwały,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,240.html",240,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
2,Ustawa o podatku od wydobycia niektórych kopalin,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,241.html",241,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
3,Ustawa o zmianie ustawy o dochodach jednostek samorządu terytorialnego,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,242.html",242,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
4,Ustawa o zmianie ustawy o dochodach jednostek samorządu terytorialnego,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,243.html",243,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
5,Drugie czytanie projektu ustawy o zmianie ustawy o Policji oraz niektórych innych ustaw,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,244.html",244,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
6,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw,"Poprawki 1, 3","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,245.html",245,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
7,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,246.html",246,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
8,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,247.html",247,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
9,Drugie czytanie projektu ustawy o zmianie ustawy – Kodeks postępowania karnego oraz niektórych innych ustaw,Przyjęcie projektu wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,239.html",239,"Posiedzenie: 7. posiedzenie Senatu RP VIII kadencji, 1 dzień",14 marca 2012 r.
1,Drugie czytanie projektu uchwały w sprawie uczczenia 120. rocznicy urodzin Generała Stanisława Franciszka Sosabowskiego i ustanowienia września 2012 roku miesiącem Jego pamięci,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,369.html",369,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 1 dzień",9 i 10 maja 2012 r.
2,Zmiany w składzie komisji senackich,Wniosek o podjęcie uchwały,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,371.html",371,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
3,Ustawa o zmianie ustawy o wykonywaniu kary pozbawienia wolności poza zakładem karnym w systemie dozoru elektronicznego,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,372.html",372,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
4,Ustawa o zmianie ustawy o wykonywaniu kary pozbawienia wolności poza zakładem karnym w systemie dozoru elektronicznego,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,373.html",373,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
