No. of voting,Title,Subscript,Link,voting_id,Session,Dates
3,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7195.html",7195,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
4,Wniosek formalny, ,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7196.html",7196,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
5,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7197.html",7197,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
6,Ustawa o zmianie ustawy o działach administracji rządowej,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7200.html",7200,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
7,Ustawa o zmianie ustawy o dystrybucji ubezpieczeń,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7199.html",7199,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
8,"Ustawa o zmianie ustawy o ochronie praw lokatorów, mieszkaniowym zasobie gminy i o zmianie Kodeksu cywilnego",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7198.html",7198,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
9,Ustawa o zmianie ustawy o Krajowym Rejestrze Sądowym oraz niektórych innych ustaw,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7201.html",7201,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
10,Drugie czytanie projektu uchwały w sprawie zmiany Regulaminu Senatu,Wniosek o odrzucenie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7204.html",7204,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
11,Drugie czytanie projektu uchwały w sprawie zmiany Regulaminu Senatu,Poprawka,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7203.html",7203,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
12,Drugie czytanie projektu uchwały w sprawie zmiany Regulaminu Senatu,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7202.html",7202,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
13,"Ustawa o zmianie ustawy o Instytucie Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu, ustawy o grobach i cmentarzach wojennych, ustawy o muzeach oraz ustawy o odpowiedzialności podmiotów zbiorowych za czyny zabronione pod groźbą kary",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7205.html",7205,"Posiedzenie: 55. posiedzenie Senatu RP IX kadencji, 1 dzień",31 stycznia 2018 r.
1,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7208.html",7208,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 1 dzień",14 i 15 lutego 2018 r.
2,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7207.html",7207,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 1 dzień",14 i 15 lutego 2018 r.
3,Ustawa o zmianie ustawy o zasadach pobytu wojsk obcych na terytorium Rzeczypospolitej Polskiej oraz zasadach ich przemieszczania się  przez to terytorium,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7209.html",7209,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
4,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7225.html",7225,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
5,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,"Poprawka 1, 2, 4, 6-8, 15, 16, 19","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7224.html",7224,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
6,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7223.html",7223,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
7,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 5,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7214.html",7214,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
8,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 9,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7221.html",7221,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
9,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 10,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7220.html",7220,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
10,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 11,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7211.html",7211,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
11,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 12,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7218.html",7218,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
12,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 13,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7230.html",7230,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
13,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 14,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7229.html",7229,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
14,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 17,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7228.html",7228,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
15,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Poprawka 18,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7227.html",7227,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
16,Ustawa o Rzeczniku Małych i Średnich Przedsiębiorców,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7226.html",7226,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
17,Ustawa – Prawo przedsiębiorców,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7232.html",7232,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
18,Ustawa – Prawo przedsiębiorców,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7231.html",7231,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
19,Ustawa – Prawo przedsiębiorców,"Poprawka 3, 4","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7235.html",7235,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
20,Ustawa – Prawo przedsiębiorców,Poprawka 6,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7234.html",7234,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
21,Ustawa – Prawo przedsiębiorców,"Poprawka 7, 9, 11-16, 22, 23","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7233.html",7233,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
22,Ustawa – Prawo przedsiębiorców,Poprawka 10,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7239.html",7239,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
23,Ustawa – Prawo przedsiębiorców,Poprawka 17 - 20,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7238.html",7238,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
24,Ustawa – Prawo przedsiębiorców,Poprawka 21,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7237.html",7237,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
25,Ustawa – Prawo przedsiębiorców,Poprawka 24,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7236.html",7236,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
26,Ustawa – Prawo przedsiębiorców,Poprawka 25,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7241.html",7241,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
27,Ustawa – Prawo przedsiębiorców,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7240.html",7240,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
28,Ustawa o Centralnej Ewidencji i Informacji o Działalności Gospodarczej  i Punkcie Informacji dla Przedsiębiorcy,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7246.html",7246,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
29,Ustawa o Centralnej Ewidencji i Informacji o Działalności Gospodarczej  i Punkcie Informacji dla Przedsiębiorcy,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7245.html",7245,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
30,Ustawa o Centralnej Ewidencji i Informacji o Działalności Gospodarczej  i Punkcie Informacji dla Przedsiębiorcy,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7244.html",7244,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
31,Ustawa o Centralnej Ewidencji i Informacji o Działalności Gospodarczej  i Punkcie Informacji dla Przedsiębiorcy,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7243.html",7243,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
32,Ustawa o Centralnej Ewidencji i Informacji o Działalności Gospodarczej  i Punkcie Informacji dla Przedsiębiorcy,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7242.html",7242,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
33,Ustawa o zasadach uczestnictwa przedsiębiorców zagranicznych i innych osób zagranicznych w obrocie gospodarczym na terytorium Rzeczypospolitej Polskiej,Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7249.html",7249,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
34,Ustawa o zasadach uczestnictwa przedsiębiorców zagranicznych i innych osób zagranicznych w obrocie gospodarczym na terytorium Rzeczypospolitej Polskiej,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7248.html",7248,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
35,Ustawa o zasadach uczestnictwa przedsiębiorców zagranicznych i innych osób zagranicznych w obrocie gospodarczym na terytorium Rzeczypospolitej Polskiej,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7247.html",7247,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
36,Ustawa – Przepisy wprowadzające ustawę – Prawo przedsiębiorców oraz inne ustawy dotyczące działalności gospodarczej,"Poprawka 3, 25, 30, 37","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7252.html",7252,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
37,Ustawa – Przepisy wprowadzające ustawę – Prawo przedsiębiorców oraz inne ustawy dotyczące działalności gospodarczej,"Poprawka 5-24, 26-29, 33, 35, 36","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7251.html",7251,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
38,Ustawa – Przepisy wprowadzające ustawę – Prawo przedsiębiorców oraz inne ustawy dotyczące działalności gospodarczej,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7250.html",7250,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
39,Ustawa o Straży Marszałkowskiej,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7254.html",7254,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
40,Ustawa o Straży Marszałkowskiej,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7253.html",7253,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
41,Ustawa – Przepisy wprowadzające ustawę o Straży Marszałkowskiej,Wniosek o odrzucenie ustawy,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7256.html",7256,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
42,Ustawa – Przepisy wprowadzające ustawę o Straży Marszałkowskiej,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7255.html",7255,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
43,Ustawa o zmianie ustawy o ochronie zwierząt oraz ustawy – Kodeks karny,"Poprawka 1, 3","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7261.html",7261,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
44,Ustawa o zmianie ustawy o ochronie zwierząt oraz ustawy – Kodeks karny,Poprawka 2,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7260.html",7260,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
45,Ustawa o zmianie ustawy o ochronie zwierząt oraz ustawy – Kodeks karny,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7259.html",7259,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
46,Ustawa o zmianie ustawy o ochronie zwierząt oraz ustawy – Kodeks karny,Poprawka 5,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7258.html",7258,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
47,Ustawa o zmianie ustawy o ochronie zwierząt oraz ustawy – Kodeks karny,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7257.html",7257,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
48,Ustawa o Instytucie Współpracy Polsko-Węgierskiej im. Wacława Felczaka,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7262.html",7262,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
49,Drugie czytanie projektu uchwały w sprawie uczczenia 80-tej rocznicy śmierci księdza Stanisława Streicha,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7263.html",7263,"Posiedzenie: 56. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 lutego 2018 r.
1,Ustawa o ustanowieniu Narodowego Dnia Pamięci Polaków ratujących Żydów pod okupacją niemiecką,Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7300.html",7300,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 1 dzień",14 i 15 marca 2018 r.
2,Drugie czytanie projektu uchwały w sprawie uczczenia pamięci Adama Giedrysa w 100. rocznicę jego urodzin,Wniosek o przyjęcie projektu,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7301.html",7301,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
3,Wniosek formalny,NA,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7302.html",7302,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
4,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,"Poprawka 1-3, 13, 18, 20, 22, 54","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7304.html",7304,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
5,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7305.html",7305,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
6,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 6,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7306.html",7306,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
7,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,"Poprawka 7, 48","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7307.html",7307,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
8,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 8,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7308.html",7308,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
9,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 9,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7309.html",7309,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
10,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,"Poprawka 10, 14, 34, 40","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7310.html",7310,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
11,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 12,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7311.html",7311,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
12,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 15,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7312.html",7312,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
13,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 16,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7313.html",7313,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
14,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 17,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7314.html",7314,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
15,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,"Poprawka 19, 25","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7315.html",7315,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
16,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 23,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7316.html",7316,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
17,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 24,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7317.html",7317,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
18,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 26,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7318.html",7318,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
19,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 27,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7319.html",7319,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
20,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 28,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7320.html",7320,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
21,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 29,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7321.html",7321,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
22,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 30,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7322.html",7322,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
23,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 31,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7303.html",7303,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
24,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 32,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7323.html",7323,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
25,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,"Poprawka 33, 44","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7324.html",7324,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
26,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 36,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7325.html",7325,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
27,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 37,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7326.html",7326,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
28,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 38,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7327.html",7327,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
29,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 39,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7328.html",7328,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
30,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 41,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7329.html",7329,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
31,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 42,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7330.html",7330,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
32,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,"Poprawka 43, 52","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7331.html",7331,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
33,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 45,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7332.html",7332,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
34,Trzecie czytanie projektu ustawy o przeciwdziałaniu marnowaniu żywności,Poprawka 46,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,7333.html",7333,"Posiedzenie: 58. posiedzenie Senatu RP IX kadencji, 2 dzień",14 i 15 marca 2018 r.
