48. Grażyna Sztark,Klub Parlamentarny Platforma Obywatelska,8
49. Bogusław Śmigielski,Klub Parlamentarny Platforma Obywatelska,8
50. Aleksander Świeykowski,Klub Parlamentarny Platforma Obywatelska,8
51. Piotr Wach,Klub Parlamentarny Platforma Obywatelska,8
52. Edmund Wittbrodt,Klub Parlamentarny Platforma Obywatelska,8
53. Michał Wojtczak,Klub Parlamentarny Platforma Obywatelska,8
54. Jan Wyrowiński,Klub Parlamentarny Platforma Obywatelska,8
55. Roman Zaborowski,Klub Parlamentarny Platforma Obywatelska,8
56. Adam Zdziebło,Klub Parlamentarny Platforma Obywatelska,8
57. Piotr Zientarski,Klub Parlamentarny Platforma Obywatelska,8
1. Elżbieta Bieńkowska (od 2011-11-08 do 2014-10-31),Klub Parlamentarny Platforma Obywatelska,8
2. Helena Hatka (od 2011-11-08 do 2015-08-12),Klub Parlamentarny Platforma Obywatelska,8
3. Stanisław Iwan (od 2011-11-08 do 2015-07-21),Klub Parlamentarny Platforma Obywatelska,8
4. Tadeusz Kopeć (od 2011-11-08 do 2015-05-22),Klub Parlamentarny Platforma Obywatelska,8
5. Antoni Motyczka (od 2011-11-08 do 2013-01-24),Klub Parlamentarny Platforma Obywatelska,8
6. Marek Ziółkowski (od 2011-11-09 do 2015-07-07),Klub Parlamentarny Platforma Obywatelska,8
1. Grzegorz Bierecki,Klub Parlamentarny Prawo i Sprawiedliwość,8
2. Przemysław Błaszczyk,Klub Parlamentarny Prawo i Sprawiedliwość,8
3. Jerzy Chróścikowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
4. Henryk Cioch ( do 2017-12-20),Klub Parlamentarny Prawo i Sprawiedliwość,8
5. Grzegorz Czelej,Klub Parlamentarny Prawo i Sprawiedliwość,8
6. Dorota Czudowska,Klub Parlamentarny Prawo i Sprawiedliwość,8
7. Wiesław Dobkowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
8. Mieczysław Gil,Klub Parlamentarny Prawo i Sprawiedliwość,8
9. Stanisław Gogacz,Klub Parlamentarny Prawo i Sprawiedliwość,8
10. Jan Maria Jackowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
11. Stanisław Karczewski,Klub Parlamentarny Prawo i Sprawiedliwość,8
12. Maciej Klima (od 2014-05-21),Klub Parlamentarny Prawo i Sprawiedliwość,8
13. Izabela Kloc (od 2014-09-24),Klub Parlamentarny Prawo i Sprawiedliwość,8
14. Maria Koc (od 2014-09-24),Klub Parlamentarny Prawo i Sprawiedliwość,8
15. Stanisław Kogut ( do 2020-10-18),Klub Parlamentarny Prawo i Sprawiedliwość,8
16. Waldemar Kraska,Klub Parlamentarny Prawo i Sprawiedliwość,8
17. Robert Mamątow,Klub Parlamentarny Prawo i Sprawiedliwość,8
18. Marek Martynowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
19. Andrzej Matusiewicz,Klub Parlamentarny Prawo i Sprawiedliwość,8
20. Andrzej Pająk,Klub Parlamentarny Prawo i Sprawiedliwość,8
21. Bohdan Paszkowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
22. Bogdan Pęk,Klub Parlamentarny Prawo i Sprawiedliwość,8
23. Zdzisław Pupa (od 2013-09-19),Klub Parlamentarny Prawo i Sprawiedliwość,8
24. Jarosław Rusiecki (od 2014-09-24),Klub Parlamentarny Prawo i Sprawiedliwość,8
25. Czesław Ryszka (od 2015-03-04),Klub Parlamentarny Prawo i Sprawiedliwość,8
26. Janina Sagatowska,Klub Parlamentarny Prawo i Sprawiedliwość,8
27. Michał Seweryński,Klub Parlamentarny Prawo i Sprawiedliwość,8
28. Wojciech Skurkiewicz,Klub Parlamentarny Prawo i Sprawiedliwość,8
29. Krzysztof Słoń,Klub Parlamentarny Prawo i Sprawiedliwość,8
30. Kazimierz Wiatr,Klub Parlamentarny Prawo i Sprawiedliwość,8
31. Grzegorz Wojciechowski,Klub Parlamentarny Prawo i Sprawiedliwość,8
32. Alicja Zając,Klub Parlamentarny Prawo i Sprawiedliwość,8
1. Beata Gosiewska (od 2011-11-08 do 2014-05-25),Klub Parlamentarny Prawo i Sprawiedliwość,8
2. Henryk Górski (od 2011-11-08 do 2014-05-19),Klub Parlamentarny Prawo i Sprawiedliwość,8
3. Kazimierz Jaworski (od 2011-11-08 do 2011-11-30),Klub Parlamentarny Prawo i Sprawiedliwość,8
4. Władysław Ortyl (od 2011-11-08 do 2013-05-27),Klub Parlamentarny Prawo i Sprawiedliwość,8
5. Bolesław Piecha (od 2013-04-21 do 2014-05-25),Klub Parlamentarny Prawo i Sprawiedliwość,8
1. Włodzimierz Cimoszewicz,Koło Senatorów Niezależnych,8
2. Marek Borowski (od 2011-12-20),Koło Senatorów Niezależnych,8
3. Kazimierz Kutz (Przewodniczący),Koło Senatorów Niezależnych,8
4. Jarosław Obremski,Koło Senatorów Niezależnych,8
1. Andżelika Możdżanowska,Klub Parlamentarny Polskiego Stronnictwa Ludowego,8
2. Józef Zając,Klub Parlamentarny Polskiego Stronnictwa Ludowego,8
1. Kazimierz Jaworski (od 2011-12-01 do 2014-01-29),Klub Parlamentarny Solidarna Polska,8
2. Maciej Klima (od 2011-11-08 do 2014-03-26),Klub Parlamentarny Solidarna Polska,8
1. Tadeusz Kopeć (od 2015-05-23),Senatorowie niezrzeszeni,8
2. Stanisław Iwan (od 2015-07-22),Senatorowie niezrzeszeni,8
3. Helena Hatka (od 2015-08-12),Senatorowie niezrzeszeni,8
1. Marek Borowski (od 2011-11-08 do 2011-12-19),Senatorowie niezrzeszeni,8
2. Kazimierz Jaworski (od 2014-01-30 do 2014-07-24),Senatorowie niezrzeszeni,8
3. Maciej Klima (od 2014-03-27 do 2014-05-20),Senatorowie niezrzeszeni,8
1. Kazimierz Jaworski (od 2014-07-25),Klub Parlamentarny Zjednoczona Prawica,8
1. Rafał Ambrozik (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
2. Grzegorz Bierecki (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
3. Przemysław Błaszczyk (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
4. Aleksander Bobko (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
5. Margareta Budner (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
6. Jerzy Chróścikowski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
7. Zbigniew Cichoń (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
8. Grzegorz Czelej (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
9. Jerzy Czerwiński (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
10. Dorota Czudowska (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
11. Wiesław Dobkowski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
12. Robert Gaweł (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
13. Adam Gawęda (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
14. Stanisław Gogacz (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
15. Mieczysław Golba (od 2015-11-18),Klub Parlamentarny Prawo i Sprawiedliwość,9
16. Arkadiusz Grabowski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
17. Jan Hamerski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
18. Jan Maria Jackowski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
19. Andrzej Kamiński (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
20. Stanisław Karczewski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
21. Maria Koc (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
22. Tadeusz Kopeć (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
23. Małgorzata Kopiczko (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
24. Waldemar Kraska (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
25. Maciej Łuczak (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
26. Józef Łyczak (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
27. Ryszard Majer (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
28. Robert Mamątow (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
29. Marek Martynowski (wiceprzewodniczący) (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
30. Łukasz Mikołajczyk (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
31. Andrzej Mioduszewski (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
32. Andrzej Misiołek (od 2017-12-19),Klub Parlamentarny Prawo i Sprawiedliwość,9
33. Krzysztof Mróz (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
34. Jarosław Obremski (od 2016-05-19),Klub Parlamentarny Prawo i Sprawiedliwość,9
35. Bogusława Orzechowska (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
36. Andrzej Pająk (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
37. Grzegorz Peczkis (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
38. Marek Pęk (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
39. Wojciech Piecha (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
40. Leszek Piechota (od 2017-12-19),Klub Parlamentarny Prawo i Sprawiedliwość,9
41. Michał Potoczny (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
42. Krystian Probierz (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
43. Zdzisław Pupa (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
44. Konstanty Radziwiłł (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
45. Tadeusz Romańczuk (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
46. Jarosław Rusiecki (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
47. Czesław Ryszka (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
48. Janina Sagatowska (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
49. Michał Seweryński (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
50. Krzysztof Słoń (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
51. Andrzej Stanisławek (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
52. Aleksander Szwed (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
53. Antoni Szymański (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
54. Rafał Ślusarz (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
55. Artur Warzocha (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
56. Kazimierz Wiatr (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
57. Jacek Włosowicz (od 2015-11-12),Klub Parlamentarny Prawo i Sprawiedliwość,9
